latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.5,10.100006,108.0,3600,Europe/Berlin,CET

time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),cloudcover (%),windspeed_10m (km/h)
2010-01-01T00:00,3.3,97,0.00,91,5.2
2010-01-01T01:00,2.7,97,0.00,86,5.9
2010-01-01T02:00,2.8,97,0.00,88,5.4
2010-01-01T03:00,2.6,97,0.00,93,5.4
2010-01-01T04:00,2.6,97,0.00,97,4.4
2010-01-01T05:00,3.0,94,0.00,84,5.9
2010-01-01T06:00,2.5,95,0.00,100,5.0
2010-01-01T07:00,2.4,94,0.00,100,4.3
2010-01-01T08:00,2.8,92,0.00,100,3.9
2010-01-01T09:00,3.4,90,0.00,100,2.8
2010-01-01T10:00,4.5,90,0.10,100,2.8
2010-01-01T11:00,5.1,94,0.40,100,2.9
2010-01-01T12:00,5.8,92,0.40,100,2.0
2010-01-01T13:00,5.9,92,0.30,100,2.1
2010-01-01T14:00,5.8,94,0.30,100,3.1
2010-01-01T15:00,5.8,95,0.10,100,3.2
2010-01-01T16:00,5.5,97,0.00,100,3.6
2010-01-01T17:00,4.8,98,0.00,100,4.7
2010-01-01T18:00,3.9,99,0.00,100,5.2
2010-01-01T19:00,3.2,99,0.00,100,5.4
2010-01-01T20:00,3.7,97,0.00,92,6.5
2010-01-01T21:00,2.8,97,0.00,83,7.3
2010-01-01T22:00,2.9,96,0.00,81,7.2
2010-01-01T23:00,3.0,95,0.00,55,8.1
2010-01-02T00:00,2.5,94,0.00,52,8.1
2010-01-02T01:00,2.1,94,0.00,76,5.8
2010-01-02T02:00,1.6,93,0.00,73,7.4
2010-01-02T03:00,2.1,92,0.00,44,7.7
2010-01-02T04:00,2.4,91,0.00,10,8.7
2010-01-02T05:00,1.8,91,0.00,1,10.0
2010-01-02T06:00,1.4,92,0.00,10,12.2
2010-01-02T07:00,0.9,92,0.00,34,14.1
2010-01-02T08:00,1.2,88,0.00,36,14.6
2010-01-02T09:00,1.5,86,0.00,44,12.3
2010-01-02T10:00,2.9,85,0.00,41,14.1
2010-01-02T11:00,5.1,82,0.00,14,10.5
2010-01-02T12:00,6.0,76,0.00,7,11.9
2010-01-02T13:00,6.4,68,0.00,13,13.4
2010-01-02T14:00,6.1,68,0.00,11,13.5
2010-01-02T15:00,5.1,72,0.30,17,13.0
2010-01-02T16:00,3.9,83,0.40,51,9.9
2010-01-02T17:00,2.8,76,0.60,49,7.1
2010-01-02T18:00,2.5,74,0.40,30,8.0
2010-01-02T19:00,2.2,77,0.20,42,9.4
2010-01-02T20:00,3.0,45,0.00,40,9.4
2010-01-02T21:00,2.4,45,0.00,31,9.4
2010-01-02T22:00,1.6,45,0.00,33,8.6
2010-01-02T23:00,0.6,45,0.00,35,10.5
2010-01-03T00:00,0.7,41,0.00,29,11.1
2010-01-03T01:00,1.1,37,0.00,8,10.5
2010-01-03T02:00,1.1,37,0.00,1,11.6
2010-01-03T03:00,0.6,38,0.00,1,10.5
2010-01-03T04:00,0.1,40,0.00,2,9.0
2010-01-03T05:00,-0.5,43,0.00,2,8.3
2010-01-03T06:00,-0.8,45,0.00,2,7.2
2010-01-03T07:00,-1.1,47,0.00,1,7.7
2010-01-03T08:00,-1.4,52,0.00,17,7.3
2010-01-03T09:00,-1.7,57,0.00,64,4.8
2010-01-03T10:00,-0.6,64,0.00,71,4.4
2010-01-03T11:00,2.1,53,0.00,54,4.7
2010-01-03T12:00,3.2,45,0.00,44,3.2
2010-01-03T13:00,4.1,40,0.00,70,4.0
2010-01-03T14:00,4.3,39,0.00,76,4.2
2010-01-03T15:00,4.4,41,0.00,68,4.6
2010-01-03T16:00,3.7,44,0.00,64,3.2
2010-01-03T17:00,3.1,48,0.00,34,1.8
2010-01-03T18:00,2.5,51,0.00,35,5.6
2010-01-03T19:00,1.9,54,0.00,34,6.9
2010-01-03T20:00,0.9,60,0.00,46,7.2
2010-01-03T21:00,1.0,60,0.00,49,3.4
2010-01-03T22:00,1.1,60,0.00,36,2.1
2010-01-03T23:00,1.1,61,0.00,37,5.8
2010-01-04T00:00,1.2,62,0.00,38,6.8
2010-01-04T01:00,0.5,66,0.00,38,7.0
2010-01-04T02:00,0.3,67,0.00,47,6.2
2010-01-04T03:00,0.1,68,0.00,69,5.9
2010-01-04T04:00,0.4,67,0.00,81,5.9
2010-01-04T05:00,0.7,65,0.00,99,5.5
2010-01-04T06:00,0.8,65,0.00,94,3.1
2010-01-04T07:00,0.8,66,0.00,94,3.3
2010-01-04T08:00,0.2,71,0.10,95,3.7
2010-01-04T09:00,0.2,71,0.10,74,3.6
2010-01-04T10:00,0.2,72,0.10,74,4.9
2010-01-04T11:00,1.1,65,0.00,100,3.6
2010-01-04T12:00,1.7,61,0.00,100,3.6
2010-01-04T13:00,2.2,60,0.00,100,2.9
2010-01-04T14:00,2.1,63,0.00,100,4.7
2010-01-04T15:00,1.8,67,0.00,100,3.5
2010-01-04T16:00,1.2,74,0.00,100,2.9
2010-01-04T17:00,0.7,78,0.00,100,2.7
2010-01-04T18:00,0.5,80,0.00,99,1.5
2010-01-04T19:00,0.3,81,0.00,83,1.1
2010-01-04T20:00,-0.5,84,0.00,81,1.5
2010-01-04T21:00,-0.5,84,0.00,67,0.5
2010-01-04T22:00,-0.8,86,0.00,64,1.5
2010-01-04T23:00,-0.9,86,0.00,100,2.3
2010-01-05T00:00,-0.8,85,0.00,94,2.9
2010-01-05T01:00,-0.7,84,0.00,100,3.1
2010-01-05T02:00,-0.9,84,0.00,100,3.4
2010-01-05T03:00,-0.9,85,0.00,100,2.6
2010-01-05T04:00,-1.0,85,0.00,100,3.4
2010-01-05T05:00,-1.0,85,0.00,100,2.8
2010-01-05T06:00,-1.1,86,0.00,100,3.0
2010-01-05T07:00,-1.1,86,0.00,100,2.7
2010-01-05T08:00,-0.3,83,0.00,100,2.6
2010-01-05T09:00,0.0,81,0.00,100,3.1
2010-01-05T10:00,0.5,79,0.00,100,2.8
2010-01-05T11:00,1.4,74,0.00,100,2.5
2010-01-05T12:00,2.2,70,0.00,100,3.2
2010-01-05T13:00,2.5,68,0.00,100,2.7
2010-01-05T14:00,2.7,67,0.00,100,4.4
2010-01-05T15:00,2.5,69,0.00,100,2.6
2010-01-05T16:00,1.9,75,0.00,100,2.5
2010-01-05T17:00,0.9,82,0.10,100,2.5
2010-01-05T18:00,0.7,84,0.20,100,2.9
2010-01-05T19:00,0.8,85,0.20,100,4.1
2010-01-05T20:00,0.7,84,0.30,100,5.0
2010-01-05T21:00,0.2,87,0.50,100,5.7
2010-01-05T22:00,0.1,88,0.50,100,6.3
2010-01-05T23:00,0.1,90,0.30,100,6.4
2010-01-06T00:00,-0.1,91,0.20,100,6.5
2010-01-06T01:00,-0.0,92,0.10,100,6.1
2010-01-06T02:00,0.1,92,0.00,100,6.1
2010-01-06T03:00,0.0,90,0.00,100,4.8
2010-01-06T04:00,0.1,90,0.00,100,5.1
2010-01-06T05:00,-0.0,89,0.00,100,5.6
2010-01-06T06:00,-0.3,89,0.00,100,5.2
2010-01-06T07:00,-0.3,88,0.00,100,5.2
2010-01-06T08:00,0.6,83,0.00,100,4.8
2010-01-06T09:00,0.9,82,0.00,100,5.9
2010-01-06T10:00,1.3,80,0.00,100,5.1
2010-01-06T11:00,2.5,72,0.00,94,6.5
2010-01-06T12:00,3.6,70,0.00,65,4.9
2010-01-06T13:00,4.8,63,0.00,47,3.6
2010-01-06T14:00,5.3,61,0.00,36,3.6
2010-01-06T15:00,5.3,64,0.00,33,1.8
2010-01-06T16:00,4.7,75,0.00,29,1.8
2010-01-06T17:00,4.5,68,0.00,34,4.2
2010-01-06T18:00,4.1,70,0.00,47,4.6
2010-01-06T19:00,3.8,73,0.00,47,6.3
2010-01-06T20:00,2.7,80,0.00,68,6.6
2010-01-06T21:00,2.3,84,0.10,78,6.0
2010-01-06T22:00,1.3,88,0.20,82,6.6
2010-01-06T23:00,0.7,90,0.10,58,6.8
2010-01-07T00:00,0.5,91,0.10,49,6.8
2010-01-07T01:00,1.1,90,0.10,46,7.6
2010-01-07T02:00,1.4,89,0.10,85,8.0
2010-01-07T03:00,1.6,88,0.10,56,6.0
2010-01-07T04:00,2.3,86,0.00,81,4.7
2010-01-07T05:00,2.3,88,0.00,88,1.0
2010-01-07T06:00,2.2,89,0.00,85,1.5
2010-01-07T07:00,1.5,92,0.00,69,2.9
2010-01-07T08:00,1.8,89,0.00,67,4.0
2010-01-07T09:00,2.4,89,0.00,62,2.8
2010-01-07T10:00,3.1,88,0.00,60,3.1
2010-01-07T11:00,3.6,88,0.00,72,3.1
2010-01-07T12:00,5.2,75,0.00,81,1.9
2010-01-07T13:00,5.9,71,0.00,100,1.9
2010-01-07T14:00,5.8,73,0.00,100,3.3
2010-01-07T15:00,5.5,75,0.00,100,4.9
2010-01-07T16:00,4.7,87,0.00,100,4.7
2010-01-07T17:00,3.9,85,0.00,100,6.3
2010-01-07T18:00,2.6,89,0.00,100,8.3
2010-01-07T19:00,1.6,91,0.00,100,9.4
2010-01-07T20:00,1.5,92,0.00,100,10.4
2010-01-07T21:00,1.4,92,0.20,100,10.4
2010-01-07T22:00,1.5,91,0.30,100,10.7
2010-01-07T23:00,1.4,92,0.50,100,12.8
2010-01-08T00:00,1.7,90,0.70,100,12.8
2010-01-08T01:00,2.0,89,0.90,100,12.1
2010-01-08T02:00,2.4,87,0.90,100,12.4
2010-01-08T03:00,2.7,86,1.00,100,10.5
2010-01-08T04:00,2.8,87,1.40,100,8.2
2010-01-08T05:00,2.5,90,1.20,100,5.2
2010-01-08T06:00,3.0,85,1.20,100,0.8
2010-01-08T07:00,2.7,87,1.00,100,3.3
2010-01-08T08:00,1.8,91,1.00,100,6.1
2010-01-08T09:00,1.6,94,0.90,100,7.2
2010-01-08T10:00,1.8,94,0.80,100,7.3
2010-01-08T11:00,2.4,93,0.70,100,6.5
2010-01-08T12:00,3.2,93,0.60,100,6.1
2010-01-08T13:00,3.5,93,0.50,100,5.5
2010-01-08T14:00,3.4,97,0.60,100,5.9
2010-01-08T15:00,3.3,97,0.70,100,5.2
2010-01-08T16:00,3.1,97,0.90,100,4.3
2010-01-08T17:00,2.9,97,1.10,100,5.5
2010-01-08T18:00,3.3,95,1.10,100,6.2
2010-01-08T19:00,3.6,94,1.10,100,6.7
2010-01-08T20:00,2.6,94,1.10,100,6.6
2010-01-08T21:00,2.8,93,1.10,100,5.8
2010-01-08T22:00,3.1,92,0.30,100,5.4
2010-01-08T23:00,3.0,93,0.10,100,3.6
2010-01-09T00:00,3.1,93,0.00,100,2.5
2010-01-09T01:00,3.3,93,0.00,100,2.2
2010-01-09T02:00,3.5,92,0.00,100,4.7
2010-01-09T03:00,3.6,92,0.00,100,4.6
2010-01-09T04:00,3.4,93,0.00,100,5.1
2010-01-09T05:00,3.4,93,0.00,100,2.9
2010-01-09T06:00,3.4,93,0.00,100,6.4
2010-01-09T07:00,3.3,93,0.10,100,7.3
2010-01-09T08:00,2.7,93,0.30,100,6.6
2010-01-09T09:00,2.1,94,0.50,100,9.7
2010-01-09T10:00,3.1,93,1.70,100,8.6
2010-01-09T11:00,3.9,93,3.30,100,9.1
2010-01-09T12:00,4.3,95,2.10,100,8.1
2010-01-09T13:00,4.8,93,2.40,100,6.4
2010-01-09T14:00,4.7,94,2.20,100,2.1
2010-01-09T15:00,4.9,93,1.90,100,2.8
2010-01-09T16:00,5.3,89,0.90,100,3.2
2010-01-09T17:00,5.3,88,1.00,100,7.2
2010-01-09T18:00,4.6,91,1.00,100,9.9
2010-01-09T19:00,4.3,93,1.10,100,11.3
2010-01-09T20:00,3.9,94,0.70,100,12.0
2010-01-09T21:00,4.0,95,0.70,100,11.4
